ResUnitStatus
Property_Code,Ref_Property_ID,StartDate,EndDate,Unit_Code,Date,Status,Tenant_Code,Ext_Ref_Tenant_Id,ApplyDate,ApproveDate,SignDate,MoveInDate,MoveOutDate,LeaseFromDate,LeaseToDate,NoticeDate,AvailableDate,RentReady,VacantDate,ReadyDate,Ref_Unit_Id
"lark",,02/01/2011,08/28/2013,"100-0101",09/19/2013,"Occupied No Notice","t0812749",,01/26/2011,,01/26/2011,02/01/2011,,02/01/2013,01/31/2014,,,0,,,
"lark",,08/29/2013,09/27/2013,"100-0101",09/19/2013,"Notice Unrented","t0812749",,01/26/2011,,01/26/2011,02/01/2011,09/28/2013,02/01/2013,01/31/2014,08/29/2013,09/30/2013,0,09/28/2013,09/28/2013,
"lark",,11/16/2010,08/31/2013,"100-0102",09/19/2013,"Occupied No Notice","tl790695",,11/01/2010,,11/01/2010,11/16/2010,,12/01/2012,11/30/2013,,,0,,,
"lark",,09/01/2013,09/23/2013,"100-0102",09/19/2013,"Notice Unrented","tl790695",,11/01/2010,,11/01/2010,11/16/2010,09/24/2013,12/01/2012,11/30/2013,09/01/2013,09/30/2013,0,09/24/2013,09/24/2013,
"lark",,01/29/2010,06/29/2011,"100-0103",09/19/2013,"Occupied No Notice","tl094674",,01/27/2010,,01/27/2010,01/29/2010,,08/01/2010,07/31/2011,,,0,,,
"lark",,06/30/2011,07/29/2011,"100-0103",09/19/2013,"Notice Unrented","tl094674",,01/27/2010,,01/27/2010,01/29/2010,07/30/2011,08/01/2010,07/31/2011,06/30/2011,02/21/2013,0,02/21/2013,,
"lark",,07/30/2011,10/14/2011,"100-0103",09/19/2013,"Vacant Unrented Ready","tl094674",,01/27/2010,,01/27/2010,01/29/2010,07/30/2011,08/01/2010,07/31/2011,06/30/2011,02/21/2013,0,02/21/2013,,
"lark",,10/15/2011,06/10/2012,"100-0103",09/19/2013,"Occupied No Notice","tn125908",,10/15/2011,,10/15/2011,10/15/2011,,10/15/2011,07/14/2012,,,0,,,
"lark",,06/11/2012,07/13/2012,"100-0103",09/19/2013,"Notice Unrented","tn125908",,10/15/2011,,10/15/2011,10/15/2011,07/14/2012,10/15/2011,07/14/2012,06/11/2012,02/21/2013,0,02/21/2013,,
"lark",,07/14/2012,08/18/2012,"100-0103",09/19/2013,"Vacant Unrented Ready","tn125908",,10/15/2011,,10/15/2011,10/15/2011,07/14/2012,10/15/2011,07/14/2012,06/11/2012,02/21/2013,0,02/21/2013,,
"lark",,08/19/2012,01/21/2013,"100-0103",09/19/2013,"Occupied No Notice","tn137826",,08/15/2012,,08/15/2012,08/19/2012,,08/19/2012,08/18/2013,,,0,,,
"lark",,01/22/2013,02/20/2013,"100-0103",09/19/2013,"Notice Unrented","tn137826",,08/15/2012,,08/15/2012,08/19/2012,02/21/2013,08/19/2012,08/18/2013,01/22/2013,02/21/2013,0,02/21/2013,,
"lark",,02/21/2013,04/12/2013,"100-0103",09/19/2013,"Vacant Unrented Ready","tn137826",,08/15/2012,,08/15/2012,08/19/2012,02/21/2013,08/19/2012,08/18/2013,01/22/2013,02/21/2013,0,02/21/2013,,
"lark",,04/13/2013,10/09/2015,"100-0103",09/19/2013,"Occupied No Notice","tn142568",,03/24/2013,,03/24/2013,04/13/2013,,07/13/2015,06/12/2016,,,0,12/13/2015,,
"lark",,01/02/2010,07/03/2011,"100-0104",09/19/2013,"Occupied No Notice","tl093533",,01/04/2010,,01/04/2010,01/02/2010,,01/03/2011,01/02/2012,,,0,,,
"lark",,07/04/2011,07/31/2011,"100-0104",09/19/2013,"Notice Unrented","tl093533",,01/04/2010,,01/04/2010,01/02/2010,08/01/2011,01/03/2011,01/02/2012,07/04/2011,10/01/2013,0,10/01/2013,,
"lark",,08/01/2011,10/06/2011,"100-0104",09/19/2013,"Vacant Unrented Ready","tl093533",,01/04/2010,,01/04/2010,01/02/2010,08/01/2011,01/03/2011,01/02/2012,07/04/2011,10/01/2013,0,10/01/2013,,
"lark",,10/07/2011,11/04/2012,"100-0104",09/19/2013,"Occupied No Notice","tn125215",,09/23/2011,,09/23/2011,10/07/2011,,10/07/2011,10/06/2012,,,0,,,
"lark",,11/05/2012,11/22/2012,"100-0104",09/19/2013,"Notice Unrented","tn125215",,09/23/2011,,09/23/2011,10/07/2011,11/23/2012,10/07/2011,10/06/2012,11/05/2012,10/01/2013,0,10/01/2013,,
"lark",,11/23/2012,12/06/2012,"100-0104",09/19/2013,"Vacant Unrented Ready","tn125215",,09/23/2011,,09/23/2011,10/07/2011,11/23/2012,10/07/2011,10/06/2012,11/05/2012,10/01/2013,0,10/01/2013,,
"lark",,12/07/2012,08/31/2013,"100-0104",09/19/2013,"Occupied No Notice","tn140108",,11/06/2012,,11/06/2012,12/07/2012,,12/07/2012,12/06/2013,,,0,,,
"lark",,09/01/2013,09/28/2013,"100-0104",09/19/2013,"Notice Unrented","tn140108",,11/06/2012,,11/06/2012,12/07/2012,09/29/2013,12/07/2012,12/06/2013,09/01/2013,10/01/2013,0,09/29/2013,09/29/2013,
"lark",,03/27/2011,04/12/2011,"100-0105",09/19/2013,"Occupied No Notice","t0808031",,03/13/2011,,03/13/2011,03/27/2011,,03/27/2011,03/26/2012,,,0,,,
"lark",,04/13/2011,04/14/2011,"100-0105",09/19/2013,"Notice Unrented","t0808031",,03/13/2011,,03/13/2011,03/27/2011,04/15/2011,03/27/2011,03/26/2012,04/13/2011,12/10/2012,0,12/10/2012,,
"lark",,04/15/2011,11/10/2011,"100-0105",09/19/2013,"Vacant Unrented Ready","t0808031",,03/13/2011,,03/13/2011,03/27/2011,04/15/2011,03/27/2011,03/26/2012,04/13/2011,12/10/2012,0,12/10/2012,,
"lark",,11/11/2011,11/25/2012,"100-0105",09/19/2013,"Occupied No Notice","tl114452",,10/18/2011,,10/18/2011,11/11/2011,,11/11/2011,12/10/2012,,,0,,,
"lark",,11/26/2012,12/09/2012,"100-0105",09/19/2013,"Notice Unrented","tl114452",,10/18/2011,,10/18/2011,11/11/2011,12/10/2012,11/11/2011,12/10/2012,11/26/2012,12/10/2012,0,12/10/2012,,
"lark",,12/10/2012,01/24/2013,"100-0105",09/19/2013,"Vacant Unrented Ready","tl114452",,10/18/2011,,10/18/2011,11/11/2011,12/10/2012,11/11/2011,12/10/2012,11/26/2012,12/10/2012,0,12/10/2012,,
"lark",,01/25/2013,,"100-0105",09/19/2013,"Occupied No Notice","tn141364",,01/13/2013,,01/13/2013,01/25/2013,,01/25/2016,01/24/2017,,,0,,,
"lark",,02/04/2011,11/10/2011,"100-0106",09/19/2013,"Occupied No Notice","t0809182",,01/10/2011,,01/10/2011,02/04/2011,,02/04/2011,02/03/2012,,,0,,,
"lark",,11/11/2011,11/13/2011,"100-0106",09/19/2013,"Notice Unrented","t0809182",,01/10/2011,,01/10/2011,02/04/2011,11/14/2011,02/04/2011,02/03/2012,11/11/2011,02/28/2013,0,02/28/2013,,
"lark",,11/14/2011,02/28/2012,"100-0106",09/19/2013,"Vacant Unrented Ready","t0809182",,01/10/2011,,01/10/2011,02/04/2011,11/14/2011,02/04/2011,02/03/2012,11/11/2011,02/28/2013,0,02/28/2013,,
"lark",,02/29/2012,02/27/2013,"100-0106",09/19/2013,"Occupied No Notice","tn129139",,01/26/2012,,01/26/2012,02/29/2012,,02/29/2012,02/28/2013,,,0,,,
"lark",,02/28/2013,02/28/2013,"100-0106",09/19/2013,"Notice Unrented","tn129139",,01/26/2012,,01/26/2012,02/29/2012,02/28/2013,02/29/2012,02/28/2013,02/28/2013,02/28/2013,0,02/28/2013,,
"lark",,02/28/2013,04/30/2013,"100-0106",09/19/2013,"Vacant Unrented Ready","tn129139",,01/26/2012,,01/26/2012,02/29/2012,02/28/2013,02/29/2012,02/28/2013,02/28/2013,02/28/2013,0,02/28/2013,,
"lark",,05/01/2013,03/12/2014,"100-0106",09/19/2013,"Occupied No Notice","tn143654",,04/30/2013,,04/30/2013,05/01/2013,,05/01/2013,04/30/2014,,,0,03/13/2014,,
"lark",,02/05/2010,,"100-0107",09/19/2013,"Occupied No Notice","tl095498",,02/08/2010,,02/08/2010,02/05/2010,,06/17/2016,06/16/2017,,,0,,,
"lark",,10/05/2011,10/05/2011,"100-0108",09/19/2013,"Notice Unrented","t0809181",,10/05/2011,,10/05/2011,10/05/2011,10/12/2011,10/05/2011,11/04/2011,10/05/2011,10/12/2011,0,10/12/2011,,
"lark",,10/05/2011,10/11/2011,"100-0108",09/19/2013,"Occupied No Notice","t0809181",,10/05/2011,,10/05/2011,10/05/2011,,10/05/2011,11/04/2011,,,0,,,
"lark",,10/12/2011,10/15/2011,"100-0108",09/19/2013,"Vacant Unrented Ready","t0809181",,10/05/2011,,10/05/2011,10/05/2011,10/12/2011,10/05/2011,11/04/2011,10/05/2011,10/12/2011,0,10/12/2011,,
"lark",,10/16/2011,10/31/2014,"100-0108",09/19/2013,"Occupied No Notice","tn125737",,10/09/2011,,10/09/2011,10/16/2011,,06/01/2014,05/31/2015,,,0,11/30/2014,,
"lark",,05/26/2011,06/24/2012,"100-0109",09/19/2013,"Occupied No Notice","tn119970",,05/26/2011,,05/26/2011,05/26/2011,,11/28/2011,11/30/2012,,,0,,,
"lark",,06/25/2012,07/22/2012,"100-0109",09/19/2013,"Notice Unrented","tn119970",,05/26/2011,,05/26/2011,05/26/2011,07/23/2012,11/28/2011,11/30/2012,06/25/2012,07/23/2012,0,07/23/2012,,
"lark",,07/23/2012,10/13/2012,"100-0109",09/19/2013,"Vacant Unrented Ready","tn119970",,05/26/2011,,05/26/2011,05/26/2011,07/23/2012,11/28/2011,11/30/2012,06/25/2012,07/23/2012,0,07/23/2012,,
"lark",,10/14/2012,10/08/2013,"100-0109",09/19/2013,"Occupied No Notice","tn139231",,09/23/2012,,09/23/2012,10/14/2012,,10/14/2012,10/13/2013,,,0,11/07/2013,,
"lark",,05/01/2010,04/29/2012,"100-0110",09/19/2013,"Occupied No Notice","tl099011",,04/18/2010,,04/18/2010,05/01/2010,,06/01/2011,05/31/2012,,,0,,,
"lark",,04/30/2012,05/30/2012,"100-0110",09/19/2013,"Notice Unrented","tl099011",,04/18/2010,,04/18/2010,05/01/2010,05/31/2012,06/01/2011,05/31/2012,04/30/2012,07/31/2013,0,07/31/2013,,
"lark",,05/31/2012,07/31/2012,"100-0110",09/19/2013,"Vacant Unrented Ready","tl099011",,04/18/2010,,04/18/2010,05/01/2010,05/31/2012,06/01/2011,05/31/2012,04/30/2012,07/31/2013,0,07/31/2013,,
"lark",,08/01/2012,06/18/2013,"100-0110",09/19/2013,"Occupied No Notice","tn135385",,07/11/2012,,07/11/2012,08/01/2012,,08/01/2012,07/31/2013,,,0,,,
"lark",,06/19/2013,07/30/2013,"100-0110",09/19/2013,"Notice Unrented","tn135385",,07/11/2012,,07/11/2012,08/01/2012,07/31/2013,08/01/2012,07/31/2013,06/19/2013,07/31/2013,0,07/31/2013,,
"lark",,07/31/2013,09/06/2013,"100-0110",09/19/2013,"Vacant Unrented Ready","tn135385",,07/11/2012,,07/11/2012,08/01/2012,07/31/2013,08/01/2012,07/31/2013,06/19/2013,07/31/2013,0,07/31/2013,,
"lark",,09/07/2013,08/26/2014,"100-0110",09/19/2013,"Occupied No Notice","tn138181",,08/21/2013,,08/21/2013,09/07/2013,,09/07/2013,09/06/2014,,,0,09/06/2014,,
"lark",,02/15/2010,04/03/2011,"100-0111",09/19/2013,"Occupied No Notice","t0807960",,02/15/2010,,02/15/2010,02/15/2010,,02/15/2010,04/16/2011,,,0,,,
"lark",,04/04/2011,04/17/2011,"100-0111",09/19/2013,"Notice Unrented","t0807960",,02/15/2010,,02/15/2010,02/15/2010,04/18/2011,02/15/2010,04/16/2011,04/04/2011,06/25/2013,0,06/25/2013,,
"lark",,04/18/2011,05/05/2011,"100-0111",09/19/2013,"Vacant Unrented Ready","t0807960",,02/15/2010,,02/15/2010,02/15/2010,04/18/2011,02/15/2010,04/16/2011,04/04/2011,06/25/2013,0,06/25/2013,,
"lark",,05/06/2011,07/04/2011,"100-0111",09/19/2013,"Occupied No Notice","tn118891",,05/06/2011,,05/06/2011,05/06/2011,,05/06/2011,08/05/2011,,,0,,,
"lark",,07/05/2011,08/04/2011,"100-0111",09/19/2013,"Notice Unrented","tn118891",,05/06/2011,,05/06/2011,05/06/2011,08/05/2011,05/06/2011,08/05/2011,07/05/2011,06/25/2013,0,06/25/2013,,
"lark",,08/05/2011,11/03/2011,"100-0111",09/19/2013,"Vacant Unrented Ready","tn118891",,05/06/2011,,05/06/2011,05/06/2011,08/05/2011,05/06/2011,08/05/2011,07/05/2011,06/25/2013,0,06/25/2013,,
"lark",,11/04/2011,01/22/2012,"100-0111",09/19/2013,"Occupied No Notice","tn126841",,11/06/2011,,11/06/2011,11/04/2011,,11/04/2011,11/03/2012,,,0,,,
"lark",,01/23/2012,08/30/2012,"100-0111",09/19/2013,"Notice Unrented","tn126841",,11/06/2011,,11/06/2011,11/04/2011,08/31/2012,11/04/2011,11/03/2012,01/23/2012,06/25/2013,0,06/25/2013,,
"lark",,08/31/2012,11/04/2012,"100-0111",09/19/2013,"Vacant Unrented Ready","tn126841",,11/06/2011,,11/06/2011,11/04/2011,08/31/2012,11/04/2011,11/03/2012,01/23/2012,06/25/2013,0,06/25/2013,,
"lark",,11/05/2012,11/05/2012,"100-0111",09/19/2013,"Occupied No Notice","t0811365",,10/19/2012,,10/19/2012,11/05/2012,,11/05/2012,01/04/2013,,,0,,,
"lark",,11/06/2012,11/06/2012,"100-0111",09/19/2013,"Notice Unrented","t0811365",,10/19/2012,,10/19/2012,11/05/2012,11/06/2012,11/05/2012,01/04/2013,11/06/2012,06/25/2013,0,06/25/2013,,
"lark",,11/06/2012,03/29/2013,"100-0111",09/19/2013,"Vacant Unrented Ready","t0811365",,10/19/2012,,10/19/2012,11/05/2012,11/06/2012,11/05/2012,01/04/2013,11/06/2012,06/25/2013,0,06/25/2013,,
"lark",,03/30/2013,05/20/2013,"100-0111",09/19/2013,"Occupied No Notice","tn141835",,03/01/2013,,03/01/2013,03/30/2013,,03/30/2013,09/29/2013,,,0,,,
"lark",,05/21/2013,06/24/2013,"100-0111",09/19/2013,"Notice Unrented","tn141835",,03/01/2013,,03/01/2013,03/30/2013,06/25/2013,03/30/2013,09/29/2013,05/21/2013,06/25/2013,0,06/25/2013,,
"lark",,06/25/2013,06/30/2013,"100-0111",09/19/2013,"Vacant Unrented Ready","tn141835",,03/01/2013,,03/01/2013,03/30/2013,06/25/2013,03/30/2013,09/29/2013,05/21/2013,06/25/2013,0,06/25/2013,,
"lark",,07/01/2013,05/19/2015,"100-0111",09/19/2013,"Occupied No Notice","tn144210",,05/26/2013,,05/26/2013,07/01/2013,,07/01/2014,06/30/2015,,,0,06/30/2015,,
"lark",,01/30/2012,02/08/2012,"100-0112",09/19/2013,"Occupied No Notice","tn129038",,01/24/2012,,01/24/2012,01/30/2012,,01/30/2012,01/29/2013,,,0,,,
"lark",,02/09/2012,02/09/2012,"100-0112",09/19/2013,"Notice Unrented","tn129038",,01/24/2012,,01/24/2012,01/30/2012,02/09/2012,01/30/2012,01/29/2013,02/09/2012,12/20/2012,0,12/20/2012,,
"lark",,02/09/2012,03/31/2012,"100-0112",09/19/2013,"Vacant Unrented Ready","tn129038",,01/24/2012,,01/24/2012,01/30/2012,02/09/2012,01/30/2012,01/29/2013,02/09/2012,12/20/2012,0,12/20/2012,,
"lark",,04/01/2012,11/18/2012,"100-0112",09/19/2013,"Occupied No Notice","tn131154",,03/21/2012,,03/21/2012,04/01/2012,,04/01/2012,12/31/2012,,,0,,,
"lark",,11/19/2012,12/19/2012,"100-0112",09/19/2013,"Notice Unrented","tn131154",,03/21/2012,,03/21/2012,04/01/2012,12/20/2012,04/01/2012,12/31/2012,11/19/2012,12/20/2012,0,12/20/2012,,
"lark",,12/20/2012,12/30/2012,"100-0112",09/19/2013,"Vacant Unrented Ready","tn131154",,03/21/2012,,03/21/2012,04/01/2012,12/20/2012,04/01/2012,12/31/2012,11/19/2012,12/20/2012,0,12/20/2012,,
"lark",,12/31/2012,01/11/2014,"100-0112",09/19/2013,"Occupied No Notice","tn139064",,12/05/2012,,12/05/2012,12/31/2012,,12/31/2012,12/30/2013,,,0,02/11/2014,,
"lark",,09/26/2008,10/27/2015,"100-0113",09/19/2013,"Occupied No Notice","tl794555",,09/21/2008,,09/21/2008,09/26/2008,,12/01/2014,11/30/2015,,,0,11/30/2015,,
"lark",,05/15/2010,07/29/2013,"100-0114",09/19/2013,"Occupied No Notice","tl093645",,12/28/2009,,12/28/2009,05/15/2010,,06/01/2012,05/31/2013,,,0,,,
"lark",,07/30/2013,09/12/2013,"100-0114",09/19/2013,"Notice Unrented","tl093645",,12/28/2009,,12/28/2009,05/15/2010,09/13/2013,06/01/2012,05/31/2013,07/30/2013,09/13/2013,0,09/13/2013,,
"lark",,09/13/2013,09/17/2013,"100-0114",09/19/2013,"Vacant Unrented Ready","tl093645",,12/28/2009,,12/28/2009,05/15/2010,09/13/2013,06/01/2012,05/31/2013,07/30/2013,09/13/2013,0,09/13/2013,,
"lark",,09/18/2013,09/18/2013,"100-0114",09/19/2013,"Vacant Rented Not Ready","tn146473",,09/17/2013,,,09/17/2013,,09/17/2013,09/16/2014,,,0,09/13/2013,,
"lark",,05/14/2005,01/16/2012,"100-0201",09/19/2013,"Occupied No Notice","tl019635",,05/14/2005,,05/14/2005,05/14/2005,,12/06/2010,12/05/2011,,,0,,,
"lark",,01/17/2012,02/26/2012,"100-0201",09/19/2013,"Notice Unrented","tl019635",,05/14/2005,,05/14/2005,05/14/2005,02/27/2012,12/06/2010,12/05/2011,01/17/2012,06/26/2013,0,06/26/2013,,
"lark",,02/27/2012,03/25/2012,"100-0201",09/19/2013,"Vacant Unrented Ready","tl019635",,05/14/2005,,05/14/2005,05/14/2005,02/27/2012,12/06/2010,12/05/2011,01/17/2012,06/26/2013,0,06/26/2013,,
"lark",,03/26/2012,05/09/2013,"100-0201",09/19/2013,"Occupied No Notice","tn129416",,02/04/2012,,02/04/2012,03/26/2012,,03/26/2012,03/25/2013,,,0,,,
"lark",,05/10/2013,06/25/2013,"100-0201",09/19/2013,"Notice Unrented","tn129416",,02/04/2012,,02/04/2012,03/26/2012,06/26/2013,03/26/2012,03/25/2013,05/10/2013,06/26/2013,0,06/26/2013,,
"lark",,06/26/2013,07/02/2013,"100-0201",09/19/2013,"Vacant Unrented Ready","tn129416",,02/04/2012,,02/04/2012,03/26/2012,06/26/2013,03/26/2012,03/25/2013,05/10/2013,06/26/2013,0,06/26/2013,,
"lark",,07/03/2013,06/01/2016,"100-0201",09/19/2013,"Occupied No Notice","tn143434",,05/25/2013,,05/25/2013,07/03/2013,,08/02/2015,07/01/2016,,,0,07/01/2016,,
"lark",,11/21/2010,01/19/2012,"100-0202",09/19/2013,"Occupied No Notice","tl112921",,11/20/2010,,11/20/2010,11/21/2010,,11/21/2011,05/31/2012,,,0,,,
"lark",,01/20/2012,02/18/2012,"100-0202",09/19/2013,"Notice Unrented","tl112921",,11/20/2010,,11/20/2010,11/21/2010,02/19/2012,11/21/2011,05/31/2012,01/20/2012,02/19/2012,0,02/19/2012,,
"lark",,02/19/2012,03/14/2012,"100-0202",09/19/2013,"Vacant Unrented Ready","tl112921",,11/20/2010,,11/20/2010,11/21/2010,02/19/2012,11/21/2011,05/31/2012,01/20/2012,02/19/2012,0,02/19/2012,,
"lark",,03/15/2012,,"100-0202",09/19/2013,"Occupied No Notice","tn130400",,03/04/2012,,03/04/2012,03/15/2012,,07/15/2016,07/14/2017,,,0,,,
"lark",,04/08/2010,07/03/2011,"100-0203",09/19/2013,"Occupied No Notice","tl097092",,03/25/2010,,03/25/2010,04/08/2010,,04/08/2010,10/31/2010,,,0,,,
"lark",,07/04/2011,08/02/2011,"100-0203",09/19/2013,"Notice Unrented","tl097092",,03/25/2010,,03/25/2010,04/08/2010,08/03/2011,04/08/2010,10/31/2010,07/04/2011,11/05/2012,0,11/05/2012,,
"lark",,08/03/2011,09/15/2011,"100-0203",09/19/2013,"Vacant Unrented Ready","tl097092",,03/25/2010,,03/25/2010,04/08/2010,08/03/2011,04/08/2010,10/31/2010,07/04/2011,11/05/2012,0,11/05/2012,,
"lark",,09/16/2011,03/18/2012,"100-0203",09/19/2013,"Occupied No Notice","tn123301",,08/10/2011,,08/10/2011,09/16/2011,,09/16/2011,03/15/2012,,,0,,,
"lark",,03/19/2012,03/19/2012,"100-0203",09/19/2013,"Notice Unrented","tn123301",,08/10/2011,,08/10/2011,09/16/2011,03/19/2012,09/16/2011,03/15/2012,03/19/2012,11/05/2012,0,11/05/2012,,
"lark",,03/19/2012,04/16/2012,"100-0203",09/19/2013,"Vacant Unrented Ready","tn123301",,08/10/2011,,08/10/2011,09/16/2011,03/19/2012,09/16/2011,03/15/2012,03/19/2012,11/05/2012,0,11/05/2012,,
"lark",,04/17/2012,06/10/2012,"100-0203",09/19/2013,"Occupied No Notice","tn131948",,04/15/2012,,04/15/2012,04/17/2012,,04/17/2012,07/16/2012,,,0,,,
"lark",,06/11/2012,06/18/2012,"100-0203",09/19/2013,"Notice Unrented","tn131948",,04/15/2012,,04/15/2012,04/17/2012,06/19/2012,04/17/2012,07/16/2012,06/11/2012,11/05/2012,0,11/05/2012,,
"lark",,06/19/2012,06/21/2012,"100-0203",09/19/2013,"Vacant Unrented Ready","tn131948",,04/15/2012,,04/15/2012,04/17/2012,06/19/2012,04/17/2012,07/16/2012,06/11/2012,11/05/2012,0,11/05/2012,,
"lark",,06/22/2012,11/04/2012,"100-0203",09/19/2013,"Occupied No Notice","tn134589",,06/21/2012,,06/21/2012,06/22/2012,,06/22/2012,12/31/2012,,,0,,,
"lark",,11/05/2012,12/13/2012,"100-0203",09/19/2013,"Vacant Unrented Ready","tn134589",,06/21/2012,,06/21/2012,06/22/2012,11/05/2012,06/22/2012,12/31/2012,05/25/2013,11/05/2012,0,11/05/2012,,
"lark",,12/14/2012,05/24/2013,"100-0203",09/19/2013,"Occupied No Notice","tn140799",,12/07/2012,,12/07/2012,12/14/2012,,12/14/2012,12/13/2013,,,0,,,
"lark",,05/25/2013,05/25/2013,"100-0203",09/19/2013,"Notice Unrented","tn134589",,06/21/2012,,06/21/2012,06/22/2012,11/05/2012,06/22/2012,12/31/2012,05/25/2013,11/05/2012,0,11/05/2012,,
"lark",,05/26/2013,11/19/2013,"100-0203",09/19/2013,"Occupied No Notice","tn140799",,12/07/2012,,12/07/2012,12/14/2012,,12/14/2012,12/13/2013,,,0,12/13/2013,,
"lark",,12/26/2010,05/25/2011,"100-0204",09/19/2013,"Occupied No Notice","tl113873",,12/19/2010,,12/19/2010,12/26/2010,,12/26/2010,05/25/2011,,,0,,,
"lark",,05/26/2011,07/04/2011,"100-0204",09/19/2013,"Notice Unrented","tl113873",,12/19/2010,,12/19/2010,12/26/2010,07/05/2011,12/26/2010,05/25/2011,05/26/2011,07/05/2011,0,07/05/2011,,
"lark",,07/05/2011,05/11/2012,"100-0204",09/19/2013,"Vacant Unrented Ready","tl113873",,12/19/2010,,12/19/2010,12/26/2010,07/05/2011,12/26/2010,05/25/2011,05/26/2011,07/05/2011,0,07/05/2011,,
"lark",,05/12/2012,04/02/2015,"100-0204",09/19/2013,"Occupied No Notice","tn132529",,04/30/2012,,04/30/2012,05/12/2012,,05/12/2014,05/11/2015,,,0,05/01/2015,,
"lark",,01/26/2011,03/13/2012,"100-0205",09/19/2013,"Occupied No Notice","tl114709",,01/24/2011,,01/24/2011,01/26/2011,,01/26/2011,01/25/2012,,,0,,,
"lark",,03/14/2012,03/19/2012,"100-0205",09/19/2013,"Notice Unrented","tl114709",,01/24/2011,,01/24/2011,01/26/2011,03/20/2012,01/26/2011,01/25/2012,03/14/2012,02/03/2013,0,02/03/2013,,
"lark",,03/20/2012,03/26/2012,"100-0205",09/19/2013,"Vacant Unrented Ready","tl114709",,01/24/2011,,01/24/2011,01/26/2011,03/20/2012,01/26/2011,01/25/2012,03/14/2012,02/03/2013,0,02/03/2013,,
"lark",,03/27/2012,01/14/2013,"100-0205",09/19/2013,"Occupied No Notice","tn131159",,03/21/2012,,03/21/2012,03/27/2012,,03/27/2012,03/26/2013,,,0,,,
"lark",,01/15/2013,02/02/2013,"100-0205",09/19/2013,"Notice Unrented","tn131159",,03/21/2012,,03/21/2012,03/27/2012,02/03/2013,03/27/2012,03/26/2013,01/15/2013,02/03/2013,0,02/03/2013,,
"lark",,02/03/2013,02/27/2013,"100-0205",09/19/2013,"Vacant Unrented Ready","tn131159",,03/21/2012,,03/21/2012,03/27/2012,02/03/2013,03/27/2012,03/26/2013,01/15/2013,02/03/2013,0,02/03/2013,,
"lark",,02/28/2013,01/15/2014,"100-0205",09/19/2013,"Occupied No Notice","tn142030",,02/12/2013,,02/12/2013,02/28/2013,,02/28/2013,02/27/2014,,,0,02/28/2014,,
"lark",,12/10/2010,11/20/2011,"100-0206",09/19/2013,"Occupied No Notice","tl112867",,11/20/2010,,11/20/2010,12/10/2010,,12/10/2010,12/09/2011,,,0,,,
"lark",,11/21/2011,11/29/2011,"100-0206",09/19/2013,"Notice Unrented","tl112867",,11/20/2010,,11/20/2010,12/10/2010,11/30/2011,12/10/2010,12/09/2011,11/21/2011,11/30/2011,0,11/30/2011,,
"lark",,11/30/2011,03/01/2012,"100-0206",09/19/2013,"Vacant Unrented Ready","tl112867",,11/20/2010,,11/20/2010,12/10/2010,11/30/2011,12/10/2010,12/09/2011,11/21/2011,11/30/2011,0,11/30/2011,,
"lark",,03/02/2012,01/24/2014,"100-0206",09/19/2013,"Occupied No Notice","tn129583",,02/05/2012,,02/05/2012,03/02/2012,,03/02/2013,03/01/2014,,,0,01/27/2014,,
"lark",,07/14/2006,04/29/2012,"100-0207",09/19/2013,"Occupied No Notice","tl019641",,07/14/2006,,07/14/2006,07/14/2006,,07/01/2011,05/31/2012,,,0,,,
"lark",,04/30/2012,05/11/2012,"100-0207",09/19/2013,"Notice Unrented","tl019641",,07/14/2006,,07/14/2006,07/14/2006,05/12/2012,07/01/2011,05/31/2012,04/30/2012,05/12/2012,0,05/12/2012,,
"lark",,05/12/2012,05/31/2013,"100-0207",09/19/2013,"Vacant Unrented Ready","tl019641",,07/14/2006,,07/14/2006,07/14/2006,05/12/2012,07/01/2011,05/31/2012,04/30/2012,05/12/2012,0,05/12/2012,,
"lark",,06/01/2013,03/30/2015,"100-0207",09/19/2013,"Occupied No Notice","tn143971",,05/14/2013,,05/14/2013,06/01/2013,,06/01/2014,06/30/2015,,,0,04/30/2015,,
"lark",,03/13/2011,07/14/2011,"100-0208",09/19/2013,"Occupied No Notice","t0808601",,03/11/2011,,03/11/2011,03/13/2011,,03/13/2011,12/12/2011,,,0,,,
"lark",,07/15/2011,07/19/2011,"100-0208",09/19/2013,"Notice Unrented","t0808601",,03/11/2011,,03/11/2011,03/13/2011,07/20/2011,03/13/2011,12/12/2011,07/15/2011,05/24/2013,0,05/24/2013,,
"lark",,07/20/2011,07/28/2011,"100-0208",09/19/2013,"Vacant Unrented Ready","t0808601",,03/11/2011,,03/11/2011,03/13/2011,07/20/2011,03/13/2011,12/12/2011,07/15/2011,05/24/2013,0,05/24/2013,,
"lark",,07/29/2011,11/29/2011,"100-0208",09/19/2013,"Occupied No Notice","tn122578",,07/28/2011,,07/28/2011,07/29/2011,,07/29/2011,10/24/2011,,,0,,,
"lark",,11/30/2011,12/20/2011,"100-0208",09/19/2013,"Notice Unrented","tn122578",,07/28/2011,,07/28/2011,07/29/2011,12/21/2011,07/29/2011,10/24/2011,11/30/2011,05/24/2013,0,05/24/2013,,
